iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
258, 0.0129, 0.0137909, 85.2616, -2.45217, 0.161608, 0.00378844, 0.930347 
259, 0.01295, 0.0113765, 85.2623, -2.45217, 0.161608, 0.00378844, 0.929769 
260, 0.013, 0.012053, 85.2643, -2.45217, 0.161608, 0.00378844, 0.929176 
261, 0.01305, 0.0192977, 85.2637, -2.45217, 0.161608, 0.00378844, 0.928519 
262, 0.0131, 0.0242098, 85.2631, -2.45217, 0.161608, 0.00378844, 0.92789 
263, 0.01315, 0.0277679, 85.2611, -2.45217, 0.161608, 0.00378844, 0.927288 
264, 0.0132, 0.0283353, 85.265, -2.45217, 0.161608, 0.00378844, 0.926681 
265, 0.01325, 0.0185777, 85.2638, -2.45217, 0.161608, 0.00378844, 0.926018 
266, 0.0133, 0.0320846, 85.265, -2.45217, 0.161608, 0.00378844, 0.925417 
267, 0.01335, 0.0227079, 85.2657, -2.45217, 0.161608, 0.00378844, 0.924834 
268, 0.0134, 0.0256594, 85.2652, -2.45217, 0.161608, 0.00378844, 0.924293 
269, 0.01345, 0.0155194, 85.2635, -2.45217, 0.161608, 0.00378844, 0.923729 
270, 0.0135, 0.0284387, 85.2645, -2.45217, 0.161608, 0.00378844, 0.92312 
271, 0.01355, 0.0340786, 85.263, -2.45217, 0.161608, 0.00378844, 0.922497 
272, 0.0136, 0.0174983, 85.2647, -2.45217, 0.161608, 0.00378844, 0.921885 
273, 0.01365, 0.0299041, 85.2642, -2.45217, 0.161608, 0.00378844, 0.921276 
274, 0.0137, 0.0226042, 85.2642, -2.45217, 0.161608, 0.00378844, 0.920678 
275, 0.01375, 0.0206804, 85.2626, -2.45217, 0.161608, 0.00378844, 0.920098 
276, 0.0138, 0.028498, 85.264, -2.45217, 0.161608, 0.00378844, 0.919495 
277, 0.01385, 0.0339731, 85.263, -2.45217, 0.161608, 0.00378844, 0.91891 
278, 0.0139, 0.0246274, 85.2619, -2.45217, 0.161608, 0.00378844, 0.91833 
279, 0.01395, 0.0216611, 85.2626, -2.45217, 0.161608, 0.00378844, 0.917758 
280, 0.014, 0.0299853, 85.2621, -2.45217, 0.161608, 0.00378844, 0.917196 
281, 0.01405, 0.036937, 85.2591, -2.45217, 0.161608, 0.00378844, 0.916615 
282, 0.0141, 0.0272233, 85.2629, -2.45217, 0.161608, 0.00378844, 0.915977 
283, 0.01415, 0.0159993, 85.2622, -2.45217, 0.161608, 0.00378844, 0.915368 
284, 0.0142, 0.0261003, 85.2625, -2.45217, 0.161608, 0.00378844, 0.914771 
285, 0.01425, 0.0227214, 85.2621, -2.45217, 0.161608, 0.00378844, 0.914206 
286, 0.0143, 0.0253457, 85.2629, -2.45217, 0.161608, 0.00378844, 0.913642 
287, 0.01435, 0.0249789, 85.2612, -2.45217, 0.161608, 0.00378844, 0.913026 
288, 0.0144, 0.023577, 85.2606, -2.45217, 0.161608, 0.00378844, 0.912432 
289, 0.01445, 0.012267, 85.2608, -2.45217, 0.161608, 0.00378844, 0.911851 
290, 0.0145, 0.0341651, 85.2614, -2.45217, 0.161608, 0.00378844, 0.911262 
291, 0.01455, 0.0320902, 85.2611, -2.45217, 0.161608, 0.00378844, 0.910684 
292, 0.0146, 0.0252687, 85.2605, -2.45217, 0.161608, 0.00378844, 0.910103 
293, 0.01465, 0.0164939, 85.2598, -2.45217, 0.161608, 0.00378844, 0.909504 
294, 0.0147, 0.02372, 85.2597, -2.45217, 0.161608, 0.00378844, 0.908839 
